year,Member States,Returnees_total,Frontex staff,"Escorts, observers, escort leaders, medical staff",Medical personnel,Monitors,frontex_contribution,Escort Leaders,Escorts,Escorts from Pool,frontex_contribution_per_person,use_of_force
2006,Austria,3,0,0,0,0,0,0,0,0,0,0
2006,France,2,0,0,0,0,0,0,0,0,0,0
2006,Poland,3,0,0,0,0,0,0,0,0,0,0
2006,NA,0,0,0,0,0,0,0,0,0,0,0
2007,Austria,24,0,0,0,0,0,0,0,0,0,0
2007,Belgium,3,0,0,0,0,0,0,0,0,0,0
2007,France,34,0,0,0,0,0,0,0,0,0,0
2007,Germany,45,0,0,0,0,0,0,0,0,0,0
2007,Italy,93,0,0,0,0,0,0,0,0,0,0
2007,Luxembourg,2,0,0,0,0,0,0,0,0,0,0
2007,Netherlands,28,0,0,0,0,0,0,0,0,0,0
2007,Norway,1,0,0,0,0,0,0,0,0,0,0
2007,Poland,5,0,0,0,0,0,0,0,0,0,0
2007,Romania,2,0,0,0,0,0,0,0,0,0,0
2007,Spain,130,0,0,0,0,0,0,0,0,0,0
2007,Switzerland,44,0,0,0,0,0,0,0,0,0,0
2007,UK,17,0,0,0,0,0,0,0,0,0,0
2008,Austria,24,0,0,0,0,0,0,0,0,0,0
2008,Belgium,5,0,0,0,0,0,0,0,0,0,0
2008,France,47,0,0,0,0,0,0,0,0,0,0
2008,Germany,25,0,0,0,0,0,0,0,0,0,0
2008,Greece,5,0,0,0,0,0,0,0,0,0,0
2008,Ireland,23,0,0,0,0,0,0,0,0,0,0
2008,Italy,54,0,0,0,0,0,0,0,0,0,0
2008,Latvia,5,0,0,0,0,0,0,0,0,0,0
2008,Luxembourg,6,0,0,0,0,0,0,0,0,0,0
2008,Netherlands,51,0,0,0,0,0,0,0,0,0,0
2008,Norway,3,0,0,0,0,0,0,0,0,0,0
2008,Poland,11,0,0,0,0,0,0,0,0,0,0
2008,Slovakia,2,0,0,0,0,0,0,0,0,0,0
2008,Slovenia,1,0,0,0,0,0,0,0,0,0,0
2008,Spain,414,0,0,0,0,0,0,0,0,0,0
2008,Sweden,37,0,0,0,0,0,0,0,0,0,0
2008,Switzerland,26,0,0,0,0,0,0,0,0,0,0
2008,UK,60,0,0,0,0,0,0,0,0,0,0
2009,Austria,211,0,425,0,0,1217784.89,0,0,0,5771.492369668246,0
2009,Belgium,7,0,18,0,0,12799.14,0,0,0,1828.4485714285713,0
2009,Cyprus,3,0,11,0,0,7433.139999999999,0,0,0,2477.713333333333,0
2009,Czech Republic,4,0,8,0,0,4592.54,0,0,0,1148.135,0
2009,Finland,2,0,6,0,0,6602.98,0,0,0,3301.49,0
2009,France,68,0,181,0,0,492644.86,0,0,0,7244.777352941176,0
2009,Frontex,0,0,21,0,0,21938.76,0,0,0,0,0
2009,Germany,152,0,207,0,0,569108.4,0,0,0,3744.134210526316,0
2009,Greece,25,0,63,0,0,4528.9,0,0,0,181.15599999999998,0
2009,Hungary,24,0,30,0,0,3231.42,0,0,0,134.6425,0
2009,Iceland,4,0,5,0,0,8283.16,0,0,0,2070.79,0
2009,Ireland,216,0,299,0,0,367300.2,0,0,0,1700.463888888889,0
2009,Italy,138,0,340,0,0,473939.36,0,0,0,3434.343188405797,0
2009,Latvia,1,0,2,0,0,1479.85,0,0,0,1479.85,0
2009,Luxembourg,12,0,29,0,0,42825.34,0,0,0,3568.778333333333,0
2009,Malta,5,0,12,0,0,6667.05,0,0,0,1333.41,0
2009,Netherlands,48,0,129,0,0,308280.06,0,0,0,6422.50125,0
2009,Norway,31,0,71,0,0,93002.13,0,0,0,3000.0687096774195,0
2009,Poland,78,0,92,0,0,38422.8,0,0,0,492.6,0
2009,Romania,1,0,7,0,0,3935.06,0,0,0,3935.06,0
2009,Slovakia,1,0,3,0,0,4740.27,0,0,0,4740.27,0
2009,Slovenia,1,0,4,0,0,1683.52,0,0,0,1683.52,0
2009,Spain,236,0,411,0,0,200405.88,0,0,0,849.1774576271187,0
2009,Sweden,156,0,227,0,0,469525.22,0,0,0,3009.777051282051,0
2009,Switzerland,65,0,143,0,0,0,0,0,0,0,0
2009,UK,131,0,276,0,0,0,0,0,0,0,0
2010,Austria,405,0,659,0,13,1634412.69,0,0,0,4035.5868888888886,0
2010,Belgium,5,0,3,0,0,1439.52,0,0,0,287.904,0
2010,Bulgaria,0,0,2,0,0,1209.24,0,0,0,0,0
2010,Cyprus,3,0,6,0,0,5047.94,0,0,0,1682.6466666666665,0
2010,Czech Republic,2,0,4,0,0,2222.47,0,0,0,1111.235,0
2010,Finland,51,0,95,0,0,166830.40999999997,0,0,0,3271.184509803921,0
2010,France,52,0,148,0,0,574618.44,0,0,0,11050.354615384615,0
2010,Frontex,0,0,38,0,0,59540.89,0,0,0,0,0
2010,Frontex (chartered aircraft),0,0,0,0,0,42400,0,0,0,0,0
2010,Germany,226,0,341,0,0,770604.09,0,0,0,3409.7526106194687,0
2010,Greece,86,0,189,0,0,39068.84,0,0,0,454.2888372093023,0
2010,Hungary,13,0,30,0,0,10255.39,0,0,0,788.8761538461538,0
2010,Iceland,1,0,2,0,0,3533.55,0,0,0,3533.55,0
2010,Ireland,111,0,105,0,0,55654.31,0,0,0,501.39018018018015,0
2010,Italy,100,0,292,0,0,358901.85,0,0,0,3589.0184999999997,0
