contractors_clean,value_contracts_sum,number_contracts,lat,long,address
365JP OÜ,127060,1,59.295348,24.658251,"Lauliku 8-8, Saku Alevik, Estonia"
3M Belgium BVBA,27916145.5,2,50.8799567,4.4370613,"Hermeslaan 7, Diegem, Belgium"
Accenture NV/SA,194450000,1,50.838198,4.359761,"boulevard de Waterloo 16, Brussels, Belgium"
Adria Congrex Srl,14500000,1,44.732552,11.077303,"Rimini, Italy"
Advokaadiburoo Sorainen AS,19098316,2,59.401347,24.693912,"Tallinn, Estonia"
ARHS Developments SA,187000000,1,49.502982,5.942713,"13 Boulevard du Jazz, Belvaux, Luxembourg"
AS G4S Eesti,3500000,2,59.429838,24.683664,"Paldiski mnt 80, Tallinn, Estonia"
Atos Belgium NV,523501690,3,50.8884634,4.4567585,"Da Vincilaan 5, Zaventem, Belgium"
Axima Concept S.A.,500000,1,48.895382,2.239783,"Tour T1, 1 place Samuel de Champlain, Faubourg de l’Arche, Paris-La-Défense, France"
Baltic Tours Ltd,14500000,1,59.451347,24.693912,"Tallinn, Estonia"
Bull SAS,27916145.5,2,48.8296377,1.9812057,"68 rue Jean Jaurès, Les Clayes-sous-Bois, France"
"Business, trade and services company Congress Travel Service DOO Skopje (Congress Travel Service DOO Skopje)",2500000,1,42.001220000000004,21.42878,"Skopje, North Macedonia"
CGITI Portugal SA,44960400,1,38.748243,-9.140093,"Lisbon, Portugal"
Civitta Eesti AS,19098316,2,58.372941,26.738843,"Tartu, Estonia"
Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje (Congress Service Center),2500000,1,42.001220000000004,21.44878,"Skopje, North Macedonia"
ELIN GmbH,2500000,1,48.140764,16.342725,"Pfarrgasse 75, Wien, Austria"
Engineering Ingegneria Informatica S.p.A.,44960400,1,41.878243,12.52809,"Rome, Italy"
ES Energies Strasbourg,350000,1,48.570721,7.758374,"Strasbourg, France"
European Dynamics Belgium SA,187000000,1,50.842242,4.369068,"15, rue Belliard, Brussels, Belgium"
European Dynamics Luxembourg SA,187000000,1,49.640223,6.147724,"12, rue Jean Engling, Luxembourg, Luxembourg"
European Dynamics SA,187000000,1,38.0141133,23.7820465,"209, Kifissias Ave. & Arkadiou Str, Athens, Greece"
Everis Belgique SPRL,187000000,1,50.845678,4.374042,"rue de SPA 8, Brussels, Belgium"
Everis Spain SLU succursale en Belgique,40000000,1,50.8413048,4.3825542,"avenue d'Auderghem 22–28, Brussels, Belgium"
IBM Belgium BVBA,142051690,1,50.87813,4.431895,"42 avenue du Bourget, Brussels, Belgium"
Idemia Identity & Security SAS,302550000,1,48.8961914,2.2375344,"2, place Samuel de Champlain, Courbevoie, France"
imc information multimedia communication AG,2500000,1,49.234378,6.978198,"Saarbruecken, Germany"
Infeurope SA,21598316,3,49.609085,6.059322,"Luxembourg, Luxembourg"
Intrasoft International SA,187000000,1,49.604894,6.086163,"2b, rue Nicolas Bové, Luxembourg, Luxembourg"
Leonardo S.p.a,142051690,1,41.918454,12.469345,"Piazza Monte Grappa n. 4, Rome, Italy"
Majencia S.A.,2500000,1,48.8452926,2.2207259,"Espace Neoffice 24 a 24 bis 25 Quai Carnot, Saint Cloud, France"
Morpho SAS,194450000,1,48.8324928,2.2652857,"11 boulevard Gallieni, Issy-les-Moulineaux, France"
North East West South (NEWS) Travel SA,19200000,2,48.859116,2.331839,"Paris, France"
Pomilio Blumm Srl,15400000,2,42.372003,13.947383,"Pescara, Italy"
ProPager SARL,19200000,2,48.869116,2.341839,"Paris, France"
PwC EU Services EESV,56962000,2,50.870682,4.460571,"Sint-Stevens-Woluwe, Belgium"
Qvalitas Arstikeskus AS,200000,1,59.431347,24.743912,"Tallinn, Estonia"
Securitas France Sarl,4000000,1,48.8207,2.246896,"253 quai de la Bataille de Stalingrad, Issy-Les-Moulineux, France"
Sopra Steria Benelux SA/NV,597466145.5,5,50.8174735,4.3937559,"15-23 avenue Arud Fraiteur, Brussels, Belgium"
SPIE Facilities,3500000,1,48.91761,2.342551,"1/3 Place de la Berline, Saint-Denis Cedex, France"
Standard AS,1000000,1,59.424145,24.692768,"Marja 9, Tallinn, Estonia"
Sword Technologies SA,187000000,1,49.647215,5.964766,"2 rue d'Arlon, Windhof, Luxembourg"
T and T Executive SA,2500000,1,37.988579,23.728541,"Marousi, Athens, Greece"
Unisys Belgium SA,56962000,2,50.892682,4.437684,"Diegem, Belgium"
UniSystems Information Technology Systems Commercial SMSA,56962000,2,37.988579,23.728541,"Athens, Greece"
Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,19098316,2,52.396172,16.916073,"Poznan, Poland"
