date,type,Germany,Austria,Italy,Spain,Sweden,France,Norway,Greece,Netherlands,Switzerland,Frontex,Finland,Belgium,Iceland,UK,Ireland,Denmark,Hungary,Bulgaria,Luxembourg,Poland,Malta,Monitor(s),Albania,Portugal,Georgia,Romania,Czech Republic,Slovenia,Cyprus,Lithuania,Montenegro,Slovakia,Ukraine,Latvia,Estonia,Croatia
2006,frontex_contribution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,frontex_contribution_per_person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,frontex_contribution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,frontex_contribution_per_person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,frontex_contribution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,frontex_contribution_per_person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,frontex_contribution,569108.4,1217784.89,473939.36,200405.88,469525.22,492644.86,93002.13,4528.9,308280.06,0,21938.76,6602.98,12799.14,8283.16,0,367300.2,0,3231.42,0,42825.34,38422.8,6667.05,0,0,0,0,3935.06,4592.54,1683.52,7433.139999999999,0,0,4740.27,0,1479.85,0,0
2009,frontex_contribution_per_person,3744.134210526316,5771.492369668246,3434.343188405797,849.1774576271187,3009.777051282051,7244.777352941176,3000.0687096774195,181.15599999999998,6422.50125,0,0,3301.49,1828.4485714285713,2070.79,0,1700.463888888889,0,134.6425,0,3568.778333333333,492.6,1333.41,0,0,0,0,3935.06,1148.135,1683.52,2477.713333333333,0,0,4740.27,0,1479.85,0,0
2010,frontex_contribution,770604.09,1634412.69,358901.85,1645537.6300000001,1192601.32,574618.44,309613.06,39068.84,439967.67,0,101940.89,166830.40999999997,1439.52,3533.55,1011748.5,55654.31,0,10255.39,1209.24,0,50538.869999999995,51904.1,0,0,0,0,0,2222.47,0,5047.94,0,0,75.34,0,0,0,0
2010,frontex_contribution_per_person,3409.7526106194687,4035.5868888888886,3589.0184999999997,4797.485801749272,8339.86937062937,11050.354615384615,4621.090447761194,454.2888372093023,8799.3534,0,0,3271.184509803921,287.904,3533.55,5748.571022727273,501.39018018018015,0,788.8761538461538,0,0,631.735875,3244.00625,0,0,0,0,0,1111.235,0,1682.6466666666665,0,0,37.67,0,0,0,0
2011,frontex_contribution,809804.87,1425995.67,382364.57999999996,1565609.1199999999,846102.11,505140.12,549855.27,4759.8,735572.72,99668.93,47336.72,457087.46,8885.94,0,433648.99,538568.05,11462.17,6760.49,3389.06,19180.98,16457.96,9499.470000000001,0,0,33574.87,0,0,2367.35,0,0,0,0,54.79,0,612.82,0,0
2011,frontex_contribution_per_person,2076.4227435897437,7835.141043956043,3676.5824999999995,2846.5620363636363,5958.465563380281,10308.982040816327,2557.4663720930234,237.99,17106.342325581394,2768.581388888889,0,10157.499111111112,341.7669230769231,0,3837.6016814159293,2911.178648648649,1273.5744444444445,482.89214285714286,1129.6866666666667,19180.98,783.712380952381,791.6225000000001,0,0,1974.9923529411767,0,0,2367.35,0,0,0,0,27.395,0,0,0,0
2012,frontex_contribution,978704.87,1650541.42,626774,1490252.1400000001,813169.66,207918.43,646892.24,12636.67,312044.85,31809.440000000002,43780.56,155876.69,1502.01,0,18478.52,178959.91,645.4,3118.91,3272.16,5120.9,15007.9,5864.139999999999,0,0,4692.7300000000005,0,6042.72,204.81,0,0,0,0,0,0,536.76,0,0
2012,frontex_contribution_per_person,1518.4827018633541,8970.333804347825,7316.621002838221,4209.751807909605,4065.8483,3353.523064516129,8188.509367088607,665.0878947368421,12968.58875,5301.573333333334,0,17319.632222222222,300.402,0,0,1771.8802970297031,0,74.2597619047619,654.432,155.17878787878786,833.7722222222222,122.16958333333332,0,0,938.546,0,1007.12,204.81,0,0,0,0,0,0,0,0,0
2013,frontex_contribution,867075.77,1184148.79,817337.5,2365761.52,571308.29,195695.64,425788.35,0,313739.69,33783.96,35145.18,168602,0,114417.26,0,222490.21,40931,10297.71,47331.79,0,11983.95,2838.3,0,0,6245.16,0,5331.58,0,0,0,0,0,0,0,0,842.24,972.25
2013,frontex_contribution_per_person,1893.178537117904,14619.120864197532,4953.560606060606,4364.873653136531,2929.7861025641027,1863.768,8188.237499999999,0,13072.487083333333,5630.66,0,6484.692307692308,0,2933.775897435897,0,3476.40953125,8186.2,367.7753571428571,1126.947380952381,0,413.2396551724138,1419.15,0,0,892.1657142857142,0,888.5966666666667,0,0,0,0,0,0,0,0,0,0
2014,frontex_contribution,782151.57,583656.05,665308.96,1994099.66,789055.42,333673.58,634529.6900000001,0,479944.12,140259.32,69790.45,314906.63,0,7074.26,229278.8,0,12276.36,129543.32,19697.57,12093.42,14408.84,53559.64,0,1210,4661.04,0,3737.34,0,0,0,0,0,41.28,0,0,0,0
2014,frontex_contribution_per_person,1653.597399577167,7295.700625,5590.831596638655,5970.358263473054,5331.455540540541,2152.7327741935483,6822.899892473119,0,34281.72285714286,11688.276666666667,0,5248.443833333334,0,7074.26,5592.165853658536,0,722.1388235294118,449.80319444444444,635.4054838709677,355.68882352941176,221.67446153846154,2975.5355555555557,0,0,1553.68,0,1868.67,0,0,0,0,0,13.76,0,0,0,0
2015,frontex_contribution,2091722.91,1614831.52,1450169.47,1536332.47,997257.8,389051.78,784042.42,328,529663.25,295588.494,9,316666.57,143742.35,129122.04000000001,180030,127091.58,398589.48,103736.65000000001,104576.48999999999,41378.409999999996,7641.79,13882.85,0,0,1558.85,0,3846.76,108,0,0,2441.7,0,196.86,0,0,1093.22,166.78
2015,frontex_contribution_per_person,1510.2692490974728,5225.991974110032,5847.457540322581,6374.823526970954,3679.918081180812,1888.6008737864079,10595.167837837838,0,15133.235714285714,4618.57021875,0,5459.768448275862,2113.8580882352944,2934.5918181818183,4000.6666666666665,10590.965,66431.58,303.3235380116959,1472.9083098591548,1655.1363999999999,477.611875,1542.538888888889,0,0,1558.85,0,961.69,108,0,0,203.475,0,196.86,0,0,546.61,41.695
