YEAR,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Average across member states,KEY
2009,5771.492369668246,1828.4485714285713,0,0,2477.713333333333,1148.135,0,0,3301.49,7244.777352941176,3744.134210526316,181.15599999999998,134.6425,2070.79,1700.463888888889,3434.343188405797,1479.85,0,3568.778333333333,1333.41,6422.50125,3000.0687096774195,492.6,0,3935.06,4740.27,1683.52,849.1774576271187,3009.777051282051,0,0,2692.070944444444,frontex_contribution_per_person
2010,4035.5868888888886,287.904,0,0,1682.6466666666665,1111.235,0,0,3271.184509803921,11050.354615384615,3409.7526106194687,454.2888372093023,788.8761538461538,3533.55,501.39018018018015,3589.0184999999997,0,0,0,3244.00625,8799.3534,4621.090447761194,631.735875,0,0,37.67,0,4797.485801749272,8339.86937062937,0,5748.571022727273,4341.950602782071,frontex_contribution_per_person
2011,7835.141043956043,341.7669230769231,1129.6866666666667,0,0,2367.35,1273.5744444444445,0,10157.499111111112,10308.982040816327,2076.4227435897437,237.99,482.89214285714286,0,2911.178648648649,3676.5824999999995,0,0,19180.98,791.6225000000001,17106.342325581394,2557.4663720930234,783.712380952381,1974.9923529411767,0,27.395,0,2846.5620363636363,5958.465563380281,2768.581388888889,3837.6016814159293,3903.6039935809263,frontex_contribution_per_person
2012,8970.333804347825,300.402,800.0766666666667,0,0,204.81,0,0,17319.632222222222,3353.523064516129,1531.987032457496,526.5279166666667,74.2597619047619,0,1771.8802970297031,4133.42282051282,0,0,155.17878787878786,122.16958333333332,13001.86875,8188.509367088607,833.7722222222222,927.5766666666667,1007.12,0,0,4209.751807909605,4065.8483,5301.573333333334,0,3614.023487804878,frontex_contribution_per_person
2013,14619.120864197532,0,1117.1582926829267,0,0,0,8186.2,0,6484.692307692308,1863.768,1878.2088571428571,0,367.7753571428571,2933.775897435897,3476.40953125,4985.109765625,0,0,0,1419.15,13072.487083333333,8188.237499999999,413.2396551724138,895.4050000000001,888.5966666666667,0,0,4364.873653136531,2929.7861025641027,5630.66,0,3593.043049082796,frontex_contribution_per_person
2014,7295.700625,0,635.4054838709677,0,0,0,722.1388235294118,0,5248.443833333334,2152.7327741935483,1653.597399577167,0,449.80319444444444,7074.26,0,5590.831596638655,0,0,355.68882352941176,2975.5355555555557,34281.72285714286,6822.899892473119,221.67446153846154,1553.68,1868.67,13.76,0,5970.358263473054,5331.455540540541,11688.276666666667,5592.165853658536,3265.2411669658886,frontex_contribution_per_person
2015,5225.991974110032,2113.8580882352944,1472.9083098591548,41.695,0,108,66431.58,546.61,5459.768448275862,1888.6008737864079,1510.2692490974728,4.753623188405797,303.3235380116959,2934.5918181818183,10590.965,5847.457540322581,0,203.475,1655.1363999999999,1542.538888888889,15133.235714285714,10595.167837837838,477.611875,1558.85,961.69,196.86,0,6374.823526970954,3679.918081180812,4618.57021875,4000.6666666666665,3109.265110129727,frontex_contribution_per_person
2016,8665.72189274448,1957.4623780219779,293.46250000000003,0,0,0,44597.74642857142,0,2568.18447761194,3432.4354063604237,1367.018321664829,8955.557598039215,245.5723142857143,2624.3898412698413,0,2670.2754,0,416.97999999999996,1122.43,407.98,6652.017586206895,7006.70152173913,0,1980.7,0,0,0,8685.799364640885,3776.097808641975,7642.773126436781,0,2422.9672448769315,frontex_contribution_per_person
2017,12363.249334565618,5581.702129963899,1515.6735483870966,0,0,0,5636.011851851852,0,11228.6252,3515.8975442043225,1347.8367963413223,15207.023453608246,70.70451612903226,3552.7051307189545,0,3018.791029116466,0,0,879.6374074074074,0,25324.339310344825,10935.62777777778,0,0,0,0,0,5865.807750611247,11867.178863636364,7515.5021839080455,0,2957.6071531607977,frontex_contribution_per_person
2018,8303.598944365192,2401.2947876447874,2302.06875,0,0,0,0,0,18414.53482758621,2550.1983548983367,1810.6271184709658,0,7491.9886206896545,7874.468915662651,0,2685.5048297977305,0,3078.48,1228.9011111111113,0,871.4558865248226,15126.791538461539,2343.2000000000003,1766.0175,0,0,0,4354.473863636364,10000.452045454545,15068.238488372093,0,2883.5231309141777,frontex_contribution_per_person
2019,11629.428091068301,2776.7070243902435,3968.9364,0,0,2240.8533333333335,14839.133333333333,0,13137.247741935484,1882.9276772793053,4603.668823841528,0,3710.718,15867.201000000001,0,2241.6592807300053,0,0,2795.915833333333,0,1216.1855555555555,21321.43222222222,5275.105,681.75,3133.02,0,2005.6566666666668,5002.774768310912,16734.973642384106,32288.218787878788,0,4658.899900944694,frontex_contribution_per_person
2020,4952.828375,5954.394310344827,1898.3671428571429,0,0,0,0,0,7450.0234782608695,1342.668111888112,2437.4770864710463,0,2069.614,4182.973125,0,1101.1038967136149,0,0,2984.523333333333,0,755.416,2366.7242857142855,853.7647619047618,0,0,0,1986.3333333333333,1488.7368627450983,16598.000384615385,0,0,2196.715355825707,frontex_contribution_per_person
