MSNAME,DEST,N_RETURNEES
Germany,Albania,0
Italy,Kosovo,0
Spain,Tunisia,0
France,Nigeria,0
Austria,Serbia,0
Sweden,Georgia,0
Belgium,Macedonia,0
Greece,Pakistan,0
Hungary,Afghanistan,0
Norway,Colombia,0
Ireland,Moldova,0
United Kingdom,Armenia,0
Iceland,Ecuador,0
Netherlands,Russia,0
Switzerland,Bosnia and Herzegovina,0
Austria,Afghanistan,377
Belgium,Afghanistan,3
France,Afghanistan,1
Germany,Afghanistan,937
Greece,Afghanistan,11
Hungary,Afghanistan,38
Sweden,Afghanistan,415
Austria,Albania,192.5
Belgium,Albania,743
France,Albania,4742.5
Germany,Albania,8533.5
Greece,Albania,9
Hungary,Albania,23
Iceland,Albania,323.5
Ireland,Albania,34
Italy,Albania,63
Netherlands,Albania,199.5
Norway,Albania,2.5
Spain,Albania,447
Sweden,Albania,442.5
United Kingdom,Albania,147
Austria,Armenia,199.5
Belgium,Armenia,21.5
France,Armenia,24.5
Germany,Armenia,625.5
Greece,Armenia,17
Hungary,Armenia,9
Iceland,Armenia,1.5
Ireland,Armenia,3.5
Italy,Armenia,5
Netherlands,Armenia,7
Spain,Armenia,46.5
Sweden,Armenia,67
Switzerland,Armenia,12.5
Belgium,Bosnia and Herzegovina,6
France,Bosnia and Herzegovina,5
Germany,Bosnia and Herzegovina,559.5
Hungary,Bosnia and Herzegovina,0.5
Spain,Bosnia and Herzegovina,2
Sweden,Bosnia and Herzegovina,24
France,Colombia,14.5
Germany,Colombia,1.5
Greece,Colombia,2.5
Hungary,Colombia,1
Italy,Colombia,15.5
Netherlands,Colombia,3
Spain,Colombia,1724.5
Switzerland,Colombia,6.5
France,Ecuador,12.5
Germany,Ecuador,0.5
Italy,Ecuador,17.5
Netherlands,Ecuador,3
Spain,Ecuador,832.5
Austria,Georgia,486
Belgium,Georgia,27.5
France,Georgia,344.5
Germany,Georgia,2942.5
Greece,Georgia,204
Hungary,Georgia,16.5
Iceland,Georgia,81
Ireland,Georgia,39.5
Italy,Georgia,71
Netherlands,Georgia,4
Norway,Georgia,8.5
Spain,Georgia,570.5
Sweden,Georgia,149.5
Switzerland,Georgia,83
United Kingdom,Georgia,2
Austria,Kosovo,1066.5
Belgium,Kosovo,32
France,Kosovo,138.5
Germany,Kosovo,5873
Hungary,Kosovo,766.5
Iceland,Kosovo,13.5
Italy,Kosovo,1
Netherlands,Kosovo,4
Norway,Kosovo,77
Sweden,Kosovo,288
United Kingdom,Kosovo,20
Austria,Macedonia,38
Belgium,Macedonia,9
France,Macedonia,2.5
Germany,Macedonia,2367.5
Hungary,Macedonia,0.5
Iceland,Macedonia,240
Spain,Macedonia,3
Sweden,Macedonia,64
Germany,Moldova,1676
Sweden,Moldova,3
Switzerland,Moldova,5
Austria,Nigeria,927
Belgium,Nigeria,80
France,Nigeria,115
Germany,Nigeria,897.5
Greece,Nigeria,183.5
Hungary,Nigeria,89.5
Iceland,Nigeria,4
Ireland,Nigeria,531.5
Italy,Nigeria,1926.5
Netherlands,Nigeria,239
Norway,Nigeria,477
Spain,Nigeria,517
Sweden,Nigeria,142.5
Switzerland,Nigeria,235.5
United Kingdom,Nigeria,434.5
Austria,Pakistan,194
Belgium,Pakistan,30
France,Pakistan,51
Germany,Pakistan,982
Greece,Pakistan,617
Hungary,Pakistan,78
Ireland,Pakistan,55
Italy,Pakistan,25
Netherlands,Pakistan,8
Norway,Pakistan,22
Spain,Pakistan,191
Sweden,Pakistan,52
Switzerland,Pakistan,23.5
United Kingdom,Pakistan,43
Austria,Russia,176
Germany,Russia,609
Hungary,Russia,1
Norway,Russia,1
Sweden,Russia,6
Switzerland,Russia,19
Austria,Serbia,63
Belgium,Serbia,42
France,Serbia,20.5
Germany,Serbia,6399
Greece,Serbia,11
Iceland,Serbia,21.5
Ireland,Serbia,5
Italy,Serbia,3
Netherlands,Serbia,9.5
Norway,Serbia,7
Spain,Serbia,14.5
Sweden,Serbia,320
Germany,Tunisia,847
Italy,Tunisia,6651
