user_country,systems,installed,donors,donation_amount,date_of_agreement,entry_into_operation,end_of_operation
Albania,ATS-G,uncertain,NA,NA,NA,NA,NA
Bahrain,ATS-G,yes,NA,NA,2022,NA,NA
Barbados,ATS-G,yes,NA,NA,NA,NA,NA
Bosnia and Herzegovina,ATS-G,yes,NA,NA,NA,NA,NA
Brazil,ATS-G,yes,NA,NA,NA,NA,NA
Bulgaria,ATS-G,yes,NA,NA,NA,NA,NA
Costa Rica,ATS-G,yes,NA,NA,NA,NA,NA
Dominican Republic,ATS-G,uncertain,NA,NA,NA,NA,NA
Ecuador,ATS-G,yes,NA,NA,2020,NA,NA
El Salvador,ATS-G,yes,NA,NA,NA,NA,NA
Greece,ATS-G,yes,NA,NA,NA,NA,NA
Guatemala,ATS-G,yes,NA,NA,2021,NA,NA
Kenya,ATS-G,yes,US,NA,2018,NA,NA
Italy,ATS-G,uncertain,NA,NA,NA,NA,NA
Malaysia,ATS-G,uncertain,NA,NA,NA,NA,NA
Mexico,ATS-G,yes,NA,NA,NA,NA,NA
North Macedonia,ATS-G,yes,NA,NA,NA,NA,NA
Panama,ATS-G,yes,US,NA,NA,NA,NA
Paraguay,ATS-G,yes,NA,NA,2021,NA,NA
Peru,ATS-G,yes,NA,NA,NA,2016,NA
Qatar,ATS-G,uncertain,NA,NA,NA,NA,NA
New Zealand,ATS-G,yes,NA,NA,2011-12,2011,NA
Senegal,ATS-G,yes,NA,NA,NA,NA,NA
Taiwan,ATS-G,uncertain,NA,NA,NA,NA,NA
United States,ATS-G,yes,NA,NA,NA,NA,NA
Uzbekistan,ATS-G,uncertain,NA,NA,NA,NA,NA
CARICOM IMPACS (Carribean inter-state association),ATS-G,yes,US,$1 million,2018,NA,NA
Afghanistan,PISCES,yes,US,"US: $ amount unknown, provided PISCES system, covered by FY 2017 TIP funding.",NA,2012,NA
Albania,PISCES,replaced,US,"US: $ amount unknown, provided PISCES system.",NA,2020,NA
Azerbaijan,PISCES,yes,US,"US: $ amount unknown, provided PISCES system + funded refurbishments.",NA,NA,2007 (uncertain)
Bosnia and Herzegovina,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",2019 (uncertain),NA,NA
Burkina Faso,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Cambodia,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Cameroon,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,2016,NA
Chad,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,2013,NA
Colombia,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",2022,NA,NA
Comoros,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",2015,NA,NA
Côte d'Ivoire,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Democratic Republic of the Congo,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Djibouti,PISCES,yes,US,"US: $ amount unknown (at least $500,000 proposed in leaked memo), provided PISCES system + funded refurbishments",NA,2015,NA
Ecuador,PISCES,yes,US,"US: $ amount unknown, provided PISCES system + funded refurbishments.",2019 (uncertain),NA,NA
Ethiopia,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
eSwatini,PISCES,uncertain,NA,NA,2022,NA,NA
Georgia,PISCES,uncertain,NA,NA,NA,NA,NA
Ghana,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Guinea,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Iraq,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,~2003,NA
Jordan,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Kenya,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Kosovo,PISCES,uncertain (may have been replaced),"US (via ICITAP), EU (via EULEX)","US: $ amount unknown, provided PISCES system.",NA,2009,2012 (uncertain)
Madagascar,PISCES,yes,US,"US: $500,000",NA,2016,NA
Malaysia,PISCES,yes,US (uncertain),NA,NA,2013,NA
Maldives,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,2016 (uncertain),NA
Mali,PISCES,uncertain (may have been replaced),US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Malta,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",2004,NA,NA
Mauritania,PISCES,uncertain (may have been replaced),US,"US: $ amount unknown, provided PISCES system.",2022,NA,NA
Nepal,PISCES,uncertain,NA,NA,NA,NA,NA
Nicaragua,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,2005,NA
Niger,PISCES,yes,US,"US: $3 million (for upgraded facilities, MIDAS/PISCES interoperability), provided PISCES system",NA,NA,NA
Nigeria,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
North Macedonia,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Panama,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Pakistan,PISCES,replaced,US,"US: >$38mil, provided PISCES system.",NA,2002,2011 (uncertain)
Philippines,PISCES,yes,NA,NA,NA,NA,NA
Somalia,PISCES,yes,US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
South Sudan,PISCES,uncertain (said to have been in talks or testing),US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Sri Lanka,PISCES,uncertain,NA,NA,In talks 2021,NA,NA
Sudan,PISCES,yes,US,"US: $ amount unknown, provided PISCES system + funded refurbishments.",NA,NA,NA
Tanzania,PISCES,uncertain (may have been replaced),US,"US: $ amount unknown, provided PISCES system.",NA,NA,NA
Thailand,PISCES,yes,US,"US: $ amount unknown, provided PISCES system + funded refurbishments.",NA,NA,NA
